Company Name,CD_NSE Symbol,CD_BSE Code,CD_Is Subsidiary,CD_Sector,CD_Industry1
Retina Paints Ltd.,,543902,N,Chemicals,Paints
Robust Hotels Ltd.,RHL,543901,N,Hospitality,"Hotel, Resort & Restaurants"
BEML Land Assets Ltd.,BLAL,543898,N,Realty,Construction - Real Estate
Sancode Technologies Ltd.,,543897,N,IT,IT - Software
Avalon Technologies Ltd.,AVALON,543896,N,Electricals,Electronics - Components
Exhicon Events Media Solutions Ltd.,,543895,N,Miscellaneous,Miscellaneous
Emami Ltd. - (Buyback),,543894,N,Others,Unspecified
Maiden Forgings Ltd.,,543874,N,Iron & Steel,Steel & Iron Products
Udayshivakumar Infra Ltd.,USK,543861,N,Infrastructure,Engineering - Construction
JA Finance Ltd.,,543860,N,Finance,Finance - Investment
Dev Labtech Venture Ltd.,,543848,N,Diamond  &  Jewellery,Diamond  &  Jewellery
Command Polymers Ltd.,,543843,N,Plastic Products,Plastic Products
Bright Outdoor Media Ltd.,,543831,N,Miscellaneous,Miscellaneous
Labelkraft Technologies Ltd.,,543830,N,FMCG,Printing & Stationery
Global Surfaces Ltd.,GSLSU,543829,N,Construction Materials,Ceramics/Marble/Granite/Sanitaryware
Sudarshan Pharma Industries Ltd.,,543828,N,Healthcare,Pharmaceuticals & Drugs
Prospect Commodities Ltd.,,543814,N,Trading,Trading
Divgi Torqtransfer Systems Ltd.,DIVGIITTS,543812,N,Capital Goods,Engineering
Airan Ltd.,AIRAN,543811,N,IT,IT - Software
ITCONS E-Solutions Ltd.,,543806,N,Miscellaneous,Miscellaneous
RESGEN Ltd.,,543805,N,Miscellaneous,Miscellaneous
Amanaya Ventures Ltd.,,543804,N,Trading,Trading
S.V.J. Enterprises Ltd.,,543799,N,FMCG,Packaging
Patron Exim Ltd.,,543798,N,Trading,Trading
Macfos Ltd.,,543787,N,Trading,Trading
Sealmatic India Ltd.,,543782,N,Capital Goods,Engineering - Industrial Equipments
Indong Tea Company Ltd.,,543769,N,Agri,Tea/Coffee
NMDC Steel Ltd.,NSLNISP,543768,N,Iron & Steel,Steel & Iron Products
Bodhi Tree Multimedia Ltd.,BTML,543767,N,Media & Entertainment,TV Broadcasting & Software Production
Ashika Credit Capital Ltd.,,543766,N,Finance,Finance - NBFC
Earthstahl & Alloys Ltd.,,543765,N,Iron & Steel,Steel & Iron Products
Transvoy Logistics India Ltd.,,543754,N,Logistics,Logistics
Dharni Capital Services Ltd.,,543753,N,Finance,Finance - Asset Management
Aarti Pharmalabs Ltd.,AARTIPHARM,543748,N,Healthcare,Pharmaceuticals & Drugs
Kamdhenu Ventures Ltd.,KAMOPAINTS,543747,N,Miscellaneous,Miscellaneous
Eastern Logica Infoway Ltd.,,543746,N,Retailing,Retailing
SVS Ventures Ltd.,,543745,N,Realty,Construction - Real Estate
Rex Sealing and Packing Industries Ltd.,,543744,N,Agri,Rubber  Products
Sah Polymers Ltd.,SAH,543743,N,Plastic Products,Plastic Products
Aveer Foods Ltd.,,543737,N,FMCG,Consumer Food
Radiant Cash Management Services Ltd.,RADIANTCMS,543732,N,Finance,Finance - Investment
Elin Electronics Ltd.,ELIN,543725,N,Capital Goods,Engineering - Industrial Equipments
KFin Technologies Ltd.,KFINTECH,543720,N,Finance,Finance - Others
Indiabulls Enterprises Ltd.,IEL,543715,N,Miscellaneous,Miscellaneous
Landmark Cars Ltd.,LANDMARK,543714,N,Trading,Trading
Droneacharya Aerial Innovations Ltd.,,543713,N,Miscellaneous,Miscellaneous
Abans Holdings Ltd.,AHL,543712,N,Finance,Finance - NBFC
Sula Vineyards Ltd.,SULA,543711,N,Alcohol,Breweries & Distilleries
PNGS Gargi Fashion Jewellery Ltd.,,543709,N,Retailing,Retailing
Uniparts India Ltd.,UNIPARTS,543689,N,Capital Goods,Engineering - Industrial Equipments
Sarveshwar Foods Ltd.,SARVESHWAR,543688,N,FMCG,Consumer Food
Dharmaj Crop Guard Ltd.,DHARMAJ,543687,N,Chemicals,Pesticides & Agrochemicals
SIRCA Paints India Ltd.,SIRCA,543686,N,Trading,Trading
Ambo Agritec Ltd.,,543678,N,FMCG,Edible Oil
AAA Technologies Ltd.,AAATECH,543671,N,IT,BPO/ITeS
Vinny Overseas Ltd.,VINNY,543670,N,Textile,Textile
Keystone Realtors Ltd,RUSTOMJEE,543669,N,Realty,Construction - Real Estate
B&B Triplewall Containers Ltd.,BBTCL,543668,N,Paper,Paper & Paper Products
Inox Green Energy Services Ltd.,INOXGREEN,543667,N,Capital Goods,Engineering
Kaynes Technology India Ltd.,KAYNES,543664,N,Electricals,Electronics - Components
Five-Star Business Finance Ltd.,FIVESTAR,543663,N,Finance,Finance - NBFC
Archean Chemical Industries Ltd.,ACI,543657,N,Chemicals,Chemicals
Technopack Polymers Ltd.,,543656,N,Plastic Products,Plastic Products
Global Health Ltd.,MEDANTA,543654,N,Healthcare,Hospital & Healthcare Services
Bikaji Foods International Ltd.,BIKAJI,543653,N,FMCG,Consumer Food
Fusion Micro Finance Ltd.,FUSION,543652,N,Finance,Finance - NBFC
DAPS Advertising Ltd.,,543651,N,Media & Entertainment,Printing And Publishing
DCX Systems Ltd.,DCXINDIA,543650,N,Electricals,Electronics - Components
Hindprakash Industries Ltd.,HPIL,543645,N,Chemicals,Dyes & Pigments
Infobeans Technologies Ltd.,INFOBEAN,543644,N,IT,IT - Software
Narmada Agrobase Ltd.,NARMADA,543643,N,Agri,Agriculture
Tracxn Technologies Ltd.,TRACXN,543638,N,IT,IT - Software
Pace E-Commerce Ventures Ltd.,,543637,N,Retailing,e-Commerce
DC Infotech and Communication Ltd.,DCI,543636,N,Consumer Durables,IT - Hardware
Piramal Pharma Ltd.,PPLPHARMA,543635,N,Healthcare,Pharmaceuticals & Drugs
Electronics Mart India Ltd.,EMIL,543626,N,Retailing,Retailing
SecUR Credentials Ltd.,SECURCRED,543625,N,IT,BPO/ITeS
Maagh Advertising And Marketing Services Ltd.,,543624,N,Miscellaneous,Miscellaneous
Vedant Asset Ltd.,,543623,N,Finance,Finance - Asset Management
Steelman Telecom Ltd.,,543622,N,Telecom,Telecommunication - Service  Provider
Cargosol Logistics Ltd.,,543621,N,Logistics,Logistics
Insolation Energy Ltd.,,543620,N,Electricals,Electronics - Components
Concord Control Systems Ltd.,,543619,N,Capital Goods,Engineering - Industrial Equipments
Cargotrans Maritime Ltd.,,543618,N,Logistics,Logistics
Reetech International Cargo and Courier Ltd.,,543617,N,Trading,Trading
Trident Lifeline Ltd.,,543616,N,Healthcare,Pharmaceuticals & Drugs
Silicon Rental Solutions Ltd.,,543615,N,Miscellaneous,Miscellaneous
Tips Films Ltd.,TIPSFILMS,543614,N,Media & Entertainment,"Film Production, Distribution & Entertainment"
Mafia Trends Ltd.,,543613,N,Retailing,Retailing
Containe Technologies Ltd.,,543606,N,Electricals,Electronics - Components
Harsha Engineers International Ltd.,HARSHA,543600,N,Capital Goods,Engineering - Industrial Equipments
KSolves India Ltd.,KSOLVES,543599,N,IT,IT - Software
Shantidoot Infra Services Ltd.,,543598,N,Realty,Construction - Real Estate
Virtuoso Optoelectronics Ltd.,,543597,N,Capital Goods,Electric Equipment
Tamilnad Mercantile Bank Ltd.,TMB,543596,N,Bank,Bank - Private
EP Biocomposites Ltd.,,543595,N,Miscellaneous,Miscellaneous
Dipna Pharmachem Ltd.,,543594,N,Trading,Trading
Dhampur Bio Organics Ltd.,DBOL,543593,N,Agri,Sugar
Dreamfolks Services Ltd.,DREAMFOLKS,543591,N,Miscellaneous,Miscellaneous
Rhetan TMT Ltd.,,543590,N,Iron & Steel,Steel & Iron Products
Naturo Indiabull Ltd.,,543579,N,Trading,Trading
Olatech Solutions Ltd.,,543578,N,IT,IT - Software
Syrma SGS Technology Ltd.,SYRMA,543573,N,Electricals,Electronics - Components
Ddev Plastiks Industries Ltd.,,543547,N,Plastic Products,Plastic Products
Healthy Life Agritec Ltd.,,543546,N,Trading,Trading
Veerkrupa Jewellers Ltd.,,543545,N,Trading,Trading
Jayant Infratech Ltd.,,543544,N,Infrastructure,Engineering - Construction
B-Right Real Estate Ltd.,,543543,N,Realty,Construction - Real Estate
Kesar India Ltd.,,543542,N,Realty,Construction - Real Estate
Sailani Tours N Travels Ltd.,,543541,N,Hospitality,Travel Services
Pearl Green Clubs And Resorts Ltd.,,543540,N,Trading,Trading
Modi's Navnirman Ltd.,,543539,N,Realty,Construction - Real Estate
Goel Food Products Ltd.,,543538,N,FMCG,Consumer Food
Scarnose International Ltd.,,543537,N,Trading,Trading
Silver Pearl Hospitality & Luxury Spaces Ltd.,,543536,N,Hospitality,"Hotel, Resort & Restaurants"
We Win Ltd.,WEWIN,543535,N,IT,BPO/ITeS
Aether Industries Ltd.,AETHER,543534,N,Chemicals,Chemicals
eMudhra Ltd.,EMUDHRA,543533,N,IT,BPO/ITeS
Ethos Ltd.,ETHOSLTD,543532,Y,Retailing,Retailing
Tierra Agrotech Ltd.,,543531,N,Agri,Agriculture
Paradeep Phosphates Ltd.,PARADEEP,543530,N,Chemicals,Fertilizers
Delhivery Ltd.,DELHIVERY,543529,N,Logistics,Courier  Services
Venus Pipes & Tubes Ltd.,VENUSPIPES,543528,N,Iron & Steel,Steel & Iron Products
Prudent Corporate Advisory Services Ltd.,PRUDENT,543527,N,Finance,Finance - Others
Life Insurance Corporation of India,LICI,543526,N,Insurance,Insurance
Silver Touch Technologies Ltd.,SILVERTUC,543525,N,Consumer Durables,IT - Hardware
Rainbow Children's Medicare Ltd.,RAINBOW,543524,N,Healthcare,Hospital & Healthcare Services
Campus Activewear Ltd.,CAMPUS,543523,N,FMCG,Footwear
Nanavati Ventures Ltd.,,543522,N,Trading,Trading
Fone4 Communications (India) Ltd.,,543521,N,Retailing,e-Commerce
Global Longlife Hospital and Research Ltd.,,543520,N,Healthcare,Hospital & Healthcare Services
Shashwat Furnishing Solutions Ltd.,,543519,N,FMCG,Household & Personal Products
Eighty Jewellers Ltd.,,543518,N,Trading,Trading
Hariom Pipe Industries Ltd.,HARIOMPIPE,543517,N,Iron & Steel,Steel & Iron Products
Dhyaani Tile and Marblez Ltd.,,543516,N,Trading,Trading
Sunrise Efficient Marketing Ltd.,,543515,N,Trading,Trading
Veranda Learning Solutions Ltd.,VERANDA,543514,N,Education & Training,Educational Institutions
Uma Exports Ltd.,UMAEXPORTS,543513,N,Trading,Trading
Avro India Ltd.,AVROIND,543512,N,Plastic Products,Plastic Products
EVOQ Remedies Ltd.,,543500,N,Trading,Trading
Achyut Healthcare Ltd.,,543499,N,Trading,Trading
Motherson Sumi Wiring India Ltd.,MSUMI,543498,N,Iron & Steel,Steel & Iron Products
Bhatia Colour Chem Ltd.,,543497,N,Chemicals,Chemicals
GMR Power and Urban Infra Ltd.,GMRP&UI,543490,N,Power,Power Generation/Distribution
Gateway Distriparks Ltd.,GATEWAY,543489,Y,Logistics,Logistics
Eureka Forbes Ltd.,,543482,Y,Consumer Durables,Consumer Durables - Domestic Appliances
Ekennis Software Service Ltd.,,543475,N,IT,IT - Software
SoftTech Engineers Ltd.,SOFTTECH,543470,N,IT,IT - Software
Maruti Interior Products Ltd.,,543464,N,Miscellaneous,Miscellaneous
Vedant Fashions Ltd.,MANYAVAR,543463,N,Textile,Textile
Dev Information Technology Ltd.,DEVIT,543462,N,IT,IT - Software
Safa Systems & Technologies Ltd.,,543461,N,Consumer Durables,Consumer Durables - Electronics
Quality RO Industries Ltd.,,543460,N,Plastic Products,Plastic Products
Adani Wilmar Ltd.,AWL,543458,N,FMCG,Edible Oil
Alkosign Ltd.,,543453,N,Miscellaneous,Miscellaneous
AGS Transact Technologies Ltd.,AGSTRA,543451,N,Miscellaneous,Miscellaneous
Wonder Electricals Ltd.,WEL,543449,N,Consumer Durables,Consumer Durables - Electronics
Fabino Life Sciences Ltd.,,543444,N,Healthcare,Pharmaceuticals & Drugs
Ascensive Educare Ltd.,,543443,N,Education & Training,Educational Institutions
Brand Concepts Ltd.,BCONCEPTS,543442,N,Trading,Trading
CMS Info Systems Ltd.,CMSINFO,543441,N,IT,BPO/ITeS
Brandbucket Media & Technology Ltd.,,543439,N,Media & Entertainment,TV Broadcasting & Software Production
Wherrelz IT Solutions Ltd.,,543436,N,IT,IT - Software
Clara Industries Ltd.,,543435,N,Plastic Products,Plastic Products
Supriya Lifescience Ltd.,SUPRIYA,543434,N,Healthcare,Pharmaceuticals & Drugs
HP Adhesives Ltd.,HPAL,543433,N,Chemicals,Chemicals
Data Patterns (India) Ltd.,DATAPATTNS,543428,N,Electricals,Electronics - Components
Medplus Health Services Ltd.,MEDPLUS,543427,N,Healthcare,Pharmaceuticals & Drugs
Metro Brands Ltd.,METROBRAND,543426,N,Retailing,Retailing
CE Info Systems Ltd.,MAPMYINDIA,543425,N,IT,IT - Software
Jet Freight Logistics Ltd.,JETFREIGHT,543420,N,Logistics,Logistics
Shriram Properties Ltd.,SHRIRAMPPS,543419,N,Realty,Construction - Real Estate
RateGain Travel Technologies Ltd.,RATEGAIN,543417,N,IT,IT - Software
Zodiac Energy Ltd.,ZODIAC,543416,N,Capital Goods,Engineering - Industrial Equipments
Anand Rathi Wealth Ltd.,ANANDRATHI,543415,N,Finance,Finance - Others
Tega Industries Ltd.,TEGA,543413,N,Capital Goods,Engineering - Industrial Equipments
Star Health and Allied Insurance Company Ltd.,STARHEALTH,543412,N,Insurance,Insurance
Hi-Tech Pipes Ltd.,HITECH,543411,N,Iron & Steel,Steel & Iron Products
DMR Hydroengineering & Infrastructures Ltd.,,543410,N,Capital Goods,Engineering
Go Fashion (India) Ltd.,GOCOLORS,543401,N,Retailing,Retailing
Omnipotent Industries Ltd.,,543400,N,Trading,Trading
Tarsons Products Ltd.,TARSONS,543399,N,Plastic Products,Plastic Products
Latent View Analytics Ltd.,LATENTVIEW,543398,N,Miscellaneous,Miscellaneous
Sapphire Foods India Ltd.,SAPPHIRE,543397,N,FMCG,Consumer Food
One97 Communications Ltd.,PAYTM,543396,N,IT,Fintech
Suyog Gurbaxani Funicular Ropeways Ltd.,,543391,N,Infrastructure,Engineering - Construction
PB Fintech Ltd.,POLICYBZR,543390,N,IT,Fintech
Sigachi Industries Ltd.,SIGACHI,543389,N,Chemicals,Chemicals
SJS Enterprises Ltd.,SJS,543387,N,Miscellaneous,Miscellaneous
Fino Payments Bank Ltd.,FINOPB,543386,N,Bank,Bank - Private
National Highways Infra Trust,NHIT,543385,N,Finance,Finance Term Lending
FSN E-Commerce Ventures Ltd.,NYKAA,543384,N,Retailing,e-Commerce
CWD Ltd.,,543378,N,Electricals,Electronics - Components
Adishakti Loha and Ispat Ltd.,,543377,N,Trading,Trading
Samor Reality Ltd.,,543376,N,Realty,Construction - Real Estate
Promax Power Ltd.,,543375,N,Infrastructure,Engineering - Construction
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,543374,Y,Finance,Finance - Asset Management
Shri Venkatesh Refineries Ltd.,,543373,N,Agri,Solvent  Extraction
Getalong Enterprise Ltd.,,543372,N,Trading,Trading
Paras Defence And Space Technologies Ltd.,PARAS,543367,N,Capital Goods,Defence
SBL Infratech Ltd.,,543366,N,Realty,Construction - Real Estate
Markolines Pavement Technologies Ltd.,,543364,N,Miscellaneous,Miscellaneous
Prevest Denpro Ltd.,,543363,N,Healthcare,Medical Equipment/Supplies/Accessories
Sansera Engineering Ltd.,SANSERA,543358,N,Automobile & Ancillaries,Auto Ancillary
PlatinumOne Business Services Ltd.,,543352,N,IT,BPO/ITeS
Naapbooks Ltd.,,543351,N,IT,IT - Software
Vijaya Diagnostic Centre Ltd.,VIJAYA,543350,N,Healthcare,Hospital & Healthcare Services
AMI Organics Ltd.,AMIORG,543349,N,Healthcare,Pharmaceuticals & Drugs
Aashka Hospitals Ltd.,,543346,N,Healthcare,Hospital & Healthcare Services
Sharpline Broadcast Ltd.,,543341,N,Media & Entertainment,TV Broadcasting & Software Production
Chemplast Sanmar Ltd.,CHEMPLASTS,543336,N,Chemicals,Chemicals
Aptus Value Housing Finance India Ltd.,APTUS,543335,N,Finance,Finance - Housing
Nuvoco Vistas Corporation Ltd.,NUVOCO,543334,N,Construction Materials,Cement & Construction Materials
CarTrade Tech Ltd.,CARTRADE,543333,N,Automobile & Ancillaries,Automobiles - Dealers & Distributors
Meghmani Finechem Ltd,MFL,543332,Y,Chemicals,Chemicals
Meghmani Organics Ltd.,MOL,543331,N,Chemicals,Chemicals
Devyani International Ltd.,DEVYANI,543330,N,FMCG,Consumer Food
Windlas Biotech Ltd.,WINDLAS,543329,N,Healthcare,Pharmaceuticals & Drugs
Krsnaa Diagnostics Ltd.,KRSNAA,543328,N,Healthcare,Hospital & Healthcare Services
Exxaro Tiles Ltd.,EXXARO,543327,N,Construction Materials,Ceramics/Marble/Granite/Sanitaryware
Rolex Rings Ltd,ROLEXRINGS,543325,N,Automobile & Ancillaries,Bearings
Gretex Corporate Services Ltd.,,543324,N,Miscellaneous,Miscellaneous
Glenmark Life Sciences Ltd.,GLS,543322,N,Healthcare,Pharmaceuticals & Drugs
Tatva Chintan Pharma Chem Ltd.,TATVA,543321,N,Chemicals,Chemicals
Zomato Ltd.,ZOMATO,543320,N,Retailing,e-Commerce
AA Plus Tradelink Ltd.,,543319,N,Trading,Trading
Clean Science And Technology Ltd.,CLEAN,543318,N,Chemicals,Chemicals
GR Infraprojects Ltd.,GRINFRA,543317,N,Infrastructure,Engineering - Construction
Focus Business Solution Ltd.,,543312,N,Miscellaneous,Miscellaneous
India Pesticides Ltd.,IPL,543311,N,Chemicals,Pesticides & Agrochemicals
Times Green Energy (India) Ltd.,,543310,N,Trading,Trading
Adeshwar Meditex Ltd.,,543309,N,Healthcare,Pharmaceuticals & Drugs
Krishna Institute of Medical Sciences Ltd,KIMS,543308,N,Healthcare,Hospital & Healthcare Services
Dodla Dairy Ltd,DODLA,543306,N,FMCG,Consumer Food
Navoday Enterprises Ltd.,,543305,N,Miscellaneous,Miscellaneous
Sona BLW Precision Forgings Ltd.,SONACOMS,543300,N,Automobile & Ancillaries,Auto Ancillary
Shyam Metalics And Energy Ltd.,SHYAMMETL,543299,N,Iron & Steel,Steel & Iron Products
Vineet Laboratories Ltd.,VINEETLAB,543298,N,Healthcare,Pharmaceuticals & Drugs
Inox Wind Energy Ltd.,IWEL,543297,N,Power,Power Generation/Distribution
POWERGRID Infrastructure Investment Trust.,PGINVIT,543290,N,Finance,Finance - Investment
Kuberan Global Edu Solutions Ltd.,,543289,N,Education & Training,Educational Institutions
Deep Industries Ltd.,DEEPINDS,543288,N,Capital Goods,Engineering
Macrotech Developers Ltd.,LODHA,543287,N,Realty,Construction - Real Estate
Jetmall Spices and Masala Ltd.,,543286,N,FMCG,Consumer Food
Rajeshwari Cans Ltd.,,543285,N,FMCG,Packaging
EKI Energy Services Ltd.,,543284,N,Miscellaneous,Miscellaneous
Barbeque-Nation Hospitality Ltd.,BARBEQUE,543283,Y,Hospitality,"Hotel, Resort & Restaurants"
Niks Technology Ltd.,,543282,N,IT,IT - Software
Suvidhaa Infoserve Ltd.,SUVIDHAA,543281,N,IT,Fintech
Nazara Technologies Ltd.,NAZARA,543280,N,IT,IT - Software
Suryoday Small Finance Bank Ltd.,SURYODAY,543279,N,Bank,Bank - Private
Kalyan Jewellers India Ltd.,KALYANKJIL,543278,N,Diamond  &  Jewellery,Diamond  &  Jewellery
Laxmi Organic Industries Ltd.,LXCHEM,543277,N,Chemicals,Chemicals
Craftsman Automation Ltd.,CRAFTSMAN,543276,N,Capital Goods,Engineering - Industrial Equipments
Anupam Rasayan India Ltd.,ANURAS,543275,N,Chemicals,Chemicals
Suumaya Corporation Ltd.,,543274,N,Trading,Trading
Knowledge Marine & Engineering Works Ltd.,,543273,N,Ship Building,Ship Building
Easy Trip Planners Ltd.,EASEMYTRIP,543272,N,Hospitality,Travel Services
Jubilant Ingrevia Ltd.,JUBLINGREA,543271,N,Chemicals,Chemicals
MTAR Technologies Ltd.,MTARTECH,543270,N,Capital Goods,Engineering
Adjia Technologies Ltd.,,543269,N,IT,IT - Software
DRC Systems India Ltd.,DRCSYSTEMS,543268,N,IT,IT - Software
Davangere Sugar Company Ltd.,,543267,N,Agri,Sugar
Heranba Industries Ltd.,HERANBA,543266,N,Chemicals,Pesticides & Agrochemicals
Railtel Corporation Of India Ltd.,RAILTEL,543265,N,Telecom,Telecommunication - Service  Provider
Nureca Ltd.,NURECA,543264,N,Trading,Trading
SMC Global Securities Ltd.,SMCGLOBAL,543263,N,Finance,Finance - Stock Broking
MRP Agro Ltd.,,543262,N,Trading,Trading
Brookfield India Real Estate Trust REIT,BIRET,543261,N,Finance,Finance - Investment
Stove Kraft Ltd.,STOVEKRAFT,543260,N,Consumer Durables,Consumer Durables - Domestic Appliances
Home First Finance Company India Ltd.,HOMEFIRST,543259,N,Finance,Finance - Housing
Indigo Paints Ltd.,INDIGOPNTS,543258,N,Chemicals,Paints
Indian Railway Finance Corporation Ltd.,IRFC,543257,N,Finance,Finance Term Lending
Rita Finance and Leasing Ltd.,,543256,N,Finance,Finance - NBFC
Antony Waste Handling Cell Ltd.,AWHCL,543254,N,Miscellaneous,Miscellaneous
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,543253,N,FMCG,Consumer Food
Fairchem Organics Ltd.,FAIRCHEMOR,543252,N,Chemicals,Chemicals
Ravinder Heights Ltd.,RVHL,543251,N,Realty,Construction - Real Estate
TARC Ltd.,TARC,543249,N,Realty,Construction - Real Estate
Restaurant Brands Asia Ltd.,RBA,543248,N,Hospitality,"Hotel, Resort & Restaurants"
Net Pix Shorts Digital Media Ltd.,,543247,N,Media & Entertainment,"Film Production, Distribution & Entertainment"
Gland Pharma Ltd.,GLAND,543245,N,Healthcare,Pharmaceuticals & Drugs
Shine Fashion (India) Ltd.,,543244,N,Trading,Trading
Equitas Small Finance Bank Ltd.,EQUITASBNK,543243,N,Bank,Bank - Private
Hemisphere Properties India Ltd.,HEMIPROP,543242,N,Realty,Construction - Real Estate
Veer Global Infraconstruction Ltd.,,543241,N,Realty,Construction - Real Estate
Likhitha Infrastructure Ltd.,LIKHITHA,543240,N,Infrastructure,Engineering - Construction
GM Polyplast Ltd.,,543239,N,Plastic Products,Plastic Products
